"File","Type","Ref"
"academic-registrar.php","CSS Link","../assets/css/bootstrap.min.css"
"academic-registrar.php","CSS Link","../assets/css/bootstrap.min.css"
"alumni-manager.php","CSS Link","../assets/css/bootstrap.min.css"
"alumni-manager.php","CSS Link","../assets/css/all.min.css"
"alumni-manager.php","CSS Link","../assets/css/datatables.min.css"
"alumni-manager.php","JS Script","../assets/js/jquery-3.6.0.min.js"
"alumni-manager.php","JS Script","../assets/js/bootstrap.bundle.min.js"
"alumni-manager.php","JS Script","../assets/js/datatables.min.js"
"alumni-manager.php","JS Script","../assets/js/sweetalert2.all.min.js"
"computer_lab.php","JS Script","https://code.jquery.com/jquery-3.7.1.min.js"
"computer_lab.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"computer_lab.php","Image","../images/school-logo.png"
"computer_lab.php","Image","<?= htmlspecialchars($photo ? "
"contracts-management.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"director-admissions.php","JS Script","https://cdn.jsdelivr.net/npm/chart.js@4.4.1/dist/chart.umd.min.js"
"document_management.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"drivers.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"events-manager.php","CSS Link","../assets/css/bootstrap.min.css"
"events-manager.php","CSS Link","../assets/css/all.min.css"
"events-manager.php","CSS Link","../assets/css/datatables.min.css"
"events-manager.php","CSS Link","../assets/css/fullcalendar.min.css"
"events-manager.php","JS Script","../assets/js/jquery-3.6.0.min.js"
"events-manager.php","JS Script","../assets/js/bootstrap.bundle.min.js"
"events-manager.php","JS Script","../assets/js/datatables.min.js"
"events-manager.php","JS Script","../assets/js/sweetalert2.all.min.js"
"events-manager.php","JS Script","../assets/js/fullcalendar.min.js"
"institutional-alerts.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"inventory-reports.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
"it-support-tickets.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"lecturers.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
"matrons.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
"non-teaching-staff.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
"non-teaching-staff.php","Image","<?= $profileImageUrl ?? "
"payment-subscriptions.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"school-bursar.php","Image","../images/ura.png"
"school-bursar.php","Image","<?=$ura_logo?>"
"school-bursar.php","Image","<?=$ura_logo?>"
"school-bursar.php","Image","<?=$ura_logo?>"
"school-librarian.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
"school-secretary.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"security.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"senior-lecturers.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
"sickbay.php","CSS Link","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/css/bootstrap.min.css"
"staff-directory.php","Image","<?= htmlspecialchars($s["
"staff_profile_management.php","Image","<?= $photo_path ?>"
"storekeeper.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"student-add.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"student-announcements.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"student-management.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js"
"student-management.php","Image","../"
"student-portal.php","CSS Link","../images/school-logo.png"
"student-portal.php","CSS Link","https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css"
"student-portal.php","CSS Link","https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap"
"student-portal.php","Image","../images/school-logo.png"
"student-portal.php","Image","<?= $profile_picture ? "
"student-records.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"student.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js"
"student.php","Image","<?= $profileImageUrl ?>"
"student.php","Image","<?= $photo ?>"
"student.php","Image","../images/school-logo.png"
"wardens.php","JS Script","https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js"
